kris@DevLaptop ~ % systemmd-analyze blame
zsh: command not found: systemmd-analyze
kris@DevLaptop ~ % systemd-analyze blame 
23.207s e2scrub_reap.service
22.236s snapd.seeded.service
21.777s preload.service
21.694s apt-daily.service
21.116s sys-devices-virtual-misc-rfkill.device
21.115s dev-rfkill.device
21.098s snapd.service
20.924s grub-initrd-fallback.service
20.533s grub2-common.service
19.435s sys-devices-pci0000:00-0000:00:13.0-ata1-host0-target0:0:0-0:0:0:0-block-sda-sda3.device
19.435s dev-sda3.device
19.435s dev-disk-by\x2ddiskseq-9\x2dpart3.device
19.435s dev-disk-by\x2dpartuuid-12d560de\x2d03.device
19.435s dev-disk-by\x2did-ata\x2dTOSHIBA_MQ01ABF050M_Z7OVTD8IT\x2dpart3.device
19.435s dev-disk-by\x2dpath-pci\x2d0000:00:13.0\x2data\x2d1.0\x2dpart3.device
19.435s dev-disk-by\x2duuid-BEC61A7EC61A36DD.device
19.435s dev-disk-by\x2dpath-pci\x2d0000:00:13.0\x2data\x2d1\x2dpart3.device
19.435s dev-disk-by\x2dpath-pci\x2d0000:00:13.0\x2data\x2d1.0\x2dpart-by\x2duuid-BEC61A7EC61A36DD.device
19.435s dev-disk-by\x2dpath-pci\x2d0000:00:13.0\x2data\x2d1.0\x2dpart-by\x2dpartnum-3.device
19.435s dev-disk-by\x2did-wwn\x2d0x5000039831f06efa\x2dpart3.device
19.435s dev-disk-by\x2dpath-pci\x2d0000:00:13.0\x2data\x2d1.0\x2dpart-by\x2dpartuuid-12d560de\x2d03.device
19.314s dev-disk-by\x2dpath-pci\x2d0000:00:13.0\x2data\x2d1.0\x2dpart-by\x2duuid-be62cc13\x2daaec\x2d46c2\x2db23b\x2d1e8f3>
19.313s dev-sda4.device
19.313s dev-disk-by\x2dpath-pci\x2d0000:00:13.0\x2data\x2d1.0\x2dpart-by\x2dpartuuid-12d560de\x2d04.device
19.313s dev-disk-by\x2dpath-pci\x2d0000:00:13.0\x2data\x2d1\x2dpart4.device
19.313s dev-disk-by\x2dpath-pci\x2d0000:00:13.0\x2data\x2d1.0\x2dpart-by\x2dpartnum-4.device
19.313s dev-disk-by\x2dpath-pci\x2d0000:00:13.0\x2data\x2d1.0\x2dpart-by\x2dlabel-lubuntu_2604.device
19.313s sys-devices-pci0000:00-0000:00:13.0-ata1-host0-target0:0:0-0:0:0:0-block-sda-sda4.device
19.313s dev-disk-by\x2dpath-pci\x2d0000:00:13.0\x2data\x2d1.0\x2dpart4.device
19.313s dev-disk-by\x2duuid-be62cc13\x2daaec\x2d46c2\x2db23b\x2d1e8f3e1f119e.device
19.313s dev-disk-by\x2ddiskseq-9\x2dpart4.device
19.313s dev-disk-by\x2dpartuuid-12d560de\x2d04.device
19.313s dev-disk-by\x2did-wwn\x2d0x5000039831f06efa\x2dpart4.device
